entry_time,exit_time,direction,entry_price,exit_price,pnl,size
2025-09-09 16:00:00+00:00,2025-09-10 12:00:00+00:00,LONG,111089.462859375,113157.19828125,7.818378533174921,0.004000033582078774
2025-09-10 13:00:00+00:00,2025-09-11 09:00:00+00:00,SHORT,113851.6671796875,113973.85999999999,-0.922520303380317,0.0039062254766831736
2025-09-11 11:00:00+00:00,2025-09-12 07:00:00+00:00,LONG,114114.44575781249,115020.8561953125,3.0837534077961295,0.0038966312934170517
2025-09-13 06:00:00+00:00,2025-09-14 02:00:00+00:00,LONG,115900.08899218749,115783.06978125,-0.8934335550333399,0.003837735404803602
2025-09-14 05:00:00+00:00,2025-09-15 01:00:00+00:00,SHORT,115806.780421875,115325.41332812498,1.405691484405471,0.0038402497846292067
2025-09-15 03:00:00+00:00,2025-09-15 23:00:00+00:00,SHORT,115442.317125,115466.08510937498,-0.5364396387745386,0.0038527900589361017
2025-09-16 00:00:00+00:00,2025-09-16 17:00:00+00:00,SHORT,114953.4939375,116672.05549999999,-7.100054015229283,0.0038687467064638928
2025-09-16 20:00:00+00:00,2025-09-17 16:00:00+00:00,SHORT,116791.8646640625,115793.49813281248,3.357855375461323,0.0038046204103943377
2025-09-17 17:00:00+00:00,2025-09-18 13:00:00+00:00,LONG,116219.25940624998,117239.3542265625,3.4530781676010998,0.0038246189975133433
2025-09-18 14:00:00+00:00,2025-09-19 10:00:00+00:00,SHORT,117583.658015625,116712.69766406249,2.8522017038061853,0.0037815188274887544
2025-09-19 11:00:00+00:00,2025-09-19 19:00:00+00:00,LONG,116542.46510156248,115094.6729296875,-5.964501186793854,0.003816335908527841
2025-09-20 07:00:00+00:00,2025-09-21 03:00:00+00:00,SHORT,115891.2349453125,115826.24178124999,-0.1949456623633593,0.003835015920972036
2025-09-21 04:00:00+00:00,2025-09-22 00:00:00+00:00,LONG,115709.32810937498,114497.54409375,-5.093940654916314,0.003840768664533478
2025-09-23 14:00:00+00:00,2025-09-24 10:00:00+00:00,SHORT,112603.68984375,113035.59454687499,-2.149374672637739,0.003944238812619478
2025-09-24 11:00:00+00:00,2025-09-25 07:00:00+00:00,SHORT,112946.237578125,111890.5991328125,3.709994012223811,0.003931128454747658
2025-09-25 08:00:00+00:00,2025-09-25 17:00:00+00:00,LONG,111862.44600781248,108827.6181328125,-12.482435680062393,0.003970675446889716
2025-09-27 00:00:00+00:00,2025-09-27 20:00:00+00:00,SHORT,109534.8320859375,109546.94532031249,-0.49262050786896044,0.004049151572048615
2025-09-27 21:00:00+00:00,2025-09-28 17:00:00+00:00,SHORT,109382.898234375,110362.35366406248,-4.4185005070732934,0.004054347960339713
2025-09-28 18:00:00+00:00,2025-09-28 22:00:00+00:00,SHORT,110183.534296875,112048.46778124999,-7.9527681235164165,0.004022681195871607
2025-09-28 23:00:00+00:00,2025-09-29 13:00:00+00:00,SHORT,112003.930828125,113488.82075781249,-6.3192744575752675,0.003953552595600229
2025-09-30 14:00:00+00:00,2025-10-01 08:00:00+00:00,LONG,113762.32836718748,115989.9954609375,8.213307762746272,0.0038894714392654303
2025-10-03 09:00:00+00:00,2025-10-04 05:00:00+00:00,LONG,120500.52076562498,122458.419,6.745613812984878,0.0036752029439911867
2025-10-04 06:00:00+00:00,2025-10-05 02:00:00+00:00,LONG,122646.68822656249,123884.8895390625,4.026538767779088,0.003613460849010755
2025-10-05 03:00:00+00:00,2025-10-05 04:00:00+00:00,SHORT,123665.632453125,125349.15361718749,-6.485047020923096,0.0035851365117438405
2025-10-05 05:00:00+00:00,2025-10-06 01:00:00+00:00,SHORT,124867.8431015625,124208.88167187499,1.8972191583704043,0.0035478450087066083
2025-10-06 02:00:00+00:00,2025-10-06 16:00:00+00:00,SHORT,123924.35784375,125494.60360937499,-6.063022848049698,0.003575442890934526
2025-10-06 17:00:00+00:00,2025-10-07 13:00:00+00:00,SHORT,125286.8611640625,124109.72010937499,3.7213740025228392,0.0035339632167865993
2025-10-07 14:00:00+00:00,2025-10-07 17:00:00+00:00,LONG,122930.88620312499,121117.714171875,-6.969294835234998,0.0036030252715396763
2025-10-07 18:00:00+00:00,2025-10-08 14:00:00+00:00,LONG,121072.12304687499,122156.518078125,3.5172509445843367,0.0036552797424312324
2025-10-08 16:00:00+00:00,2025-10-09 12:00:00+00:00,SHORT,122975.6902734375,123744.34728906248,-3.2125993972539497,0.0035999490036227036
2025-10-09 13:00:00+00:00,2025-10-10 09:00:00+00:00,SHORT,122382.21403125,121506.43974218749,2.727366981651848,0.0036159130792986975
2025-10-10 14:00:00+00:00,2025-10-10 15:00:00+00:00,LONG,121397.92508593749,118953.224578125,-9.347521934270747,0.003646171796202033
2025-10-10 16:00:00+00:00,2025-10-10 19:00:00+00:00,LONG,118462.17195312498,116670.603234375,-7.122311994124325,0.003732399763525414
2025-10-10 20:00:00+00:00,2025-10-10 23:00:00+00:00,LONG,114642.0978828125,112961.878171875,-6.909972625784698,0.0038534706511328307
2025-10-11 00:00:00+00:00,2025-10-11 07:00:00+00:00,SHORT,112649.9170078125,110431.01600781249,8.261734033072875,0.003918355061156725
2025-10-11 08:00:00+00:00,2025-10-12 04:00:00+00:00,SHORT,111418.7899921875,111675.07132031249,-1.4590061939949304,0.003965160535852672
2025-10-12 05:00:00+00:00,2025-10-12 15:00:00+00:00,SHORT,111719.4733828125,113455.9910859375,-7.314126192839841,0.003953637944003059
2025-10-12 16:00:00+00:00,2025-10-12 22:00:00+00:00,SHORT,114025.3839140625,115539.61168749999,-6.307661760592547,0.0038702834638630577
